CUSID,DEPOSIT INCOME,LOAN INCOME,TOTAL_PRODUCT_COUNT,DEPOSIT_PRODUCT_COUNT,LOAN_PRODUCT_COUNT,DEPOSIT_BALANCE,COUNT_TRANSACTION_CURRENT,AMOUNT_TRANSACTION_CURRENT,MONTHS_REMAIN_MIN,MONTHS_REMAIN_MAX,COUNT_LOANTRANS_CURRENT,AMOUNT_LOANTRANS_CURRENT,AGE_MONTHS,TENURE_MONTHS,MONTHS_LAST_ACTIVE,CNT_LN_TOTFSI,LOAN_BALANCE,AGE_MONTHS,TENURE_MONTHS,LOAN_AMOUNT
916985,0,8.853912,1,0,1,,1,8.853912,8,8,1,8.853912,602,41,,4,590.2608,,41,614.8564064
916986,0,2.7545504,1,0,1,,1,24.5942,8,8,1,2.7545504,841,90,,2,160.2804014,,90,245.9425626
916987,0,15.0270562,3,1,2,,1,97.1716842,11,11,2,97.1716842,482,41,,,899.655836,,41,1967.540501
916988,0,9.1244482,2,1,1,3.68913,1,9.1244482,9,9,1,9.1244482,445,41,,1,607.47674,,41,614.8564064
916989,0.991884,0,1,1,0,7.3515648,2,0.991884,,,,,684,99,,,,684,99,
916990,0,8.484999,1,0,1,,1,33.079199,8,8,1,8.484999,625,90,,2,541.0724,,90,614.8564064
916991,0,7.4520426,1,0,1,,1,504.2548826,13,13,1,504.2548826,604,49,,8,541.0724,,49,541.0736377
916992,0,8.484999,1,0,1,,1,33.079199,9,9,1,8.484999,689,96,,3,541.0724,,96,614.8564064
916993,0.983768,153.79,3,2,1,14.4833028,2,821.773768,21,21,1,820.79,749,95,,,13997,749,95,20000
916994,0.983768,0,1,1,0,11.190361,1,0.983768,,,,,769,88,,,,769,88,
916995,0,0,1,1,0,0.57,,,,,,,563,93,7,,,563,93,
916996,0,9.222825,1,0,1,,1,9.222825,6,6,1,9.222825,461,30,,6,614.855,,30,614.8564064
916997,0,33.02,4,3,1,127.23,2,129.81,25,25,1,117.02,581,77,,,2076,581,77,3000
916998,0,99.77,2,1,1,7.5,1,309,33,33,1,308.77,668,43,,,6865,668,43,10000
916999,0,227.19,2,1,1,53.26,1,562,53,53,1,561.19,494,93,,3,17662,494,93,20000
917000,0,8.484999,1,0,1,,1,33.079199,9,9,1,8.484999,688,28,,1,541.0724,,28,614.8564064
917001,0,57.19,2,1,1,10.65,2,248.19,12,24,4,248.19,419,24,,,3524,419,24,7100
917002,0,0,1,1,0,20.01902211,,,,,,,475,30,5,,,475,30,
917003,0,6.640434,1,0,1,,1,31.234634,3,3,1,6.640434,449,34,,,418.1014,,34,614.8564064
917004,0,11.313332,3,1,2,,2,62.71521,5,11,2,38.12101,687,26,,4,538.858922,,26,860.798969
917005,0,0,1,1,0,0.95,,,,,,,762,81,10,,,762,81,
917006,0,0,1,0,1,,,,12,12,,,675,81,,5,491.884,,81,491.8851251
917007,0,2.4348258,1,0,1,,1,2.4348258,3,3,1,2.4348258,622,81,,,161.09201,,81,245.9425626
917008,0,0,1,1,0,2.951304,,,,,,,624,90,9,,,624,90,
917009,0.983768,0,1,1,0,7.993115,1,0.983768,,,,,770,93,,,,770,93,
917010,0,0,1,1,0,,,,,,,,704,81,9,,,704,81,
917011,0.983768,0,1,1,0,876.3405344,19,662.567748,,,,,939,97,,,,480,97,
917012,0,14.68,2,1,1,5.75,1,99.01,11,11,1,98.68,706,37,,,908,706,37,2000
917013,0,102.1931568,4,2,2,80.701371,3,1046.492488,6,19,5,1046.452488,587,82,,2,7398.504435,,82,19426.96613
917014,0,0,1,1,0,0.06,,,,,,,743,90,7,,,743,90,
917015,0,35.3664596,2,1,1,0.6640434,1,96.8519596,44,44,1,96.8519596,589,90,,,2696.139175,,90,6886.391752
917016,0,9.222825,2,0,2,,1,9.222825,6,6,1,9.222825,478,90,,2,614.855,,90,614.8564064
917017,0,175.76,2,1,1,3.41,1,1010,17,17,1,1009.76,694,99,,1,14162,694,99,20000
917018,0,8.116086,2,1,1,1.46,1,8.116086,6,6,1,8.116086,508,99,,5,541.0724,,99,541.0736377
917019,0,0,1,1,0,0.38,,,,,,,664,90,6,,,664,90,
917020,0,7.37826,1,0,1,,1,7.37826,6,6,1,7.37826,648,90,,7,491.884,,90,491.8851251
917021,0,0,1,1,0,9.83768,,,,,,,600,10,10,,,600,10,
917022,0,8.116086,1,0,1,,1,32.710286,8,8,1,8.116086,749,89,,3,516.4782,,89,614.8564064
917023,0,8.116086,1,0,1,,1,32.710286,8,8,1,8.116086,702,61,,4,516.4782,,61,614.8564064
917024,0,8.853912,1,0,1,,1,8.853912,8,8,1,8.853912,602,41,,4,590.2608,,41,614.8564064
917025,0,2.7545504,1,0,1,,1,24.5942,8,8,1,2.7545504,841,90,,2,160.2804014,,90,245.9425626
917026,0,15.0270562,3,1,2,,1,97.1716842,11,11,2,97.1716842,482,41,,,899.655836,,41,1967.540501
917027,0,9.1244482,2,1,1,3.68913,1,9.1244482,9,9,1,9.1244482,445,41,,1,607.47674,,41,614.8564064
917028,0.991884,0,1,1,0,7.3515648,2,0.991884,,,,,684,99,,,,684,99,
917029,0,8.484999,1,0,1,,1,33.079199,8,8,1,8.484999,625,90,,2,541.0724,,90,614.8564064
917030,0,7.4520426,1,0,1,,1,504.2548826,13,13,1,504.2548826,604,49,,8,541.0724,,49,541.0736377
917031,0,8.484999,1,0,1,,1,33.079199,9,9,1,8.484999,689,96,,3,541.0724,,96,614.8564064
917032,0.983768,153.79,3,2,1,14.4833028,2,821.773768,21,21,1,820.79,749,95,,,13997,749,95,20000
917033,0.983768,0,1,1,0,11.190361,1,0.983768,,,,,769,88,,,,769,88,
917034,0,0,1,1,0,0.57,,,,,,,563,93,7,,,563,93,
917035,0,9.222825,1,0,1,,1,9.222825,6,6,1,9.222825,461,30,,6,614.855,,30,614.8564064
917036,0,33.02,4,3,1,127.23,2,129.81,25,25,1,117.02,581,77,,,2076,581,77,3000
917037,0,99.77,2,1,1,7.5,1,309,33,33,1,308.77,668,43,,,6865,668,43,10000
917038,0,227.19,2,1,1,53.26,1,562,53,53,1,561.19,494,93,,3,17662,494,93,20000
917039,0,8.484999,1,0,1,,1,33.079199,9,9,1,8.484999,688,28,,1,541.0724,,28,614.8564064
917040,0,8.484999,1,0,1,,1,33.079199,9,9,1,8.484999,457,88,,5,541.0724,,88,614.8564064
917041,0,8.484999,1,0,1,,1,33.079199,9,9,1,8.484999,696,88,,3,541.0724,,88,614.8564064
917042,0,7.37826,1,0,1,,1,31.97246,9,9,1,7.37826,461,88,,4,467.2898,,88,541.0736377
917043,0,7.8209556,1,0,1,,1,529.2179956,13,13,1,529.2179956,700,83,,8,368.913,,83,368.9138439
917044,0,430.74826,5,2,3,9.08,2,867.97246,9,59,3,842.74826,527,62,,5,19823.2898,,62,22941.07364
917045,0,3.320217,1,0,1,,1,27.914417,9,9,1,3.320217,888,88,,4,196.7536,,88,245.9425626
917046,0,5.7304486,1,0,1,,1,47.5405886,4,4,1,5.7304486,604,88,,,339.39996,,88,614.8564064
